role_bucket,style_cluster_id,metric,cluster_median,role_median,difference,z_difference,coverage
MF,MF_C04,Key passes,1.04,0.34,0.7,1.9732680987913336,0.9980353634577603
MF,MF_C04,Passes for a shot,0.98,0.38,0.6,1.8713268378620924,1.0
MF,MF_C04,Chances created,1.05,0.36,0.6900000000000001,1.9931224959447829,1.0
MF,MF_C04,Open passes received,33.53,30.33,3.200000000000003,0.31387146039542724,1.0
MF,MF_C04,Open passes received in the central third,19.25,19.07,0.17999999999999972,0.0264915828346236,1.0
MF,MF_C04,Open passes received in the final third,9.91,5.555,4.355,1.3628394505739614,1.0
MF,MF_C04,Interceptions,2.34,2.53,-0.18999999999999995,-0.13175069946239004,1.0
MF,MF_C04,Ball recoveries,2.75,3.83,-1.08,-0.9785690908267521,1.0
MF,MF_C04,Defensive challenges,4.81,5.25,-0.4400000000000004,-0.2157289859987712,1.0
MF,MF_C04,Lost balls,6.1,4.27,1.83,1.3949857050938044,1.0
MF,MF_C05,Passes,60.03,40.754999999999995,19.275000000000006,1.7452951432996486,1.0
MF,MF_C05,Short passes,14.94,10.47,4.469999999999999,1.3617117052068817,1.0
MF,MF_C05,Progressive passes,12.34,8.38,3.959999999999999,1.4137868016128534,1.0
MF,MF_C05,Passes forward to the final third,7.14,4.75,2.3899999999999997,1.3145826409870305,1.0
MF,MF_C05,Final third entries,4.845,2.01,2.835,2.121136534397074,1.0
MF,MF_C05,Final third entries through pass,4.015,1.81,2.2049999999999996,2.0461790872293593,1.0
MF,MF_C05,Final third entries through carry,0.79,0.20500000000000002,0.585,1.4419298416915207,0.9027149321266968
MF,MF_C05,Key passes,0.55,0.34,0.21000000000000002,0.5919804296374002,0.9909502262443439
MF,MF_C05,Passes for a shot,0.585,0.38,0.20499999999999996,0.6393700029362148,0.9909502262443439
MF,MF_C05,Chances created,0.495,0.36,0.135,0.38995874920658796,0.9819004524886877
MF,MF_C05,Open passes received,48.41,30.33,18.08,1.773373751234162,1.0
MF,MF_C05,Open passes received in the central third,31.085,19.07,12.015,1.7683131542111281,1.0
MF,MF_C05,Open passes received in the final third,9.024999999999999,5.555,3.469999999999999,1.085890446266738,1.0
MF,MF_C05,Interceptions,3.37,2.53,0.8400000000000003,0.5824767765705668,1.0
MF,MF_C05,Ball recoveries,4.055,3.83,0.22499999999999964,0.20386856058890634,1.0
MF,MF_C05,Defensive challenges,5.855,5.25,0.6050000000000004,0.29662735574831034,1.0
MF,MF_C05,Lost balls,4.485,4.27,0.21500000000000075,0.163891763166759,1.0
AM,AM_C01,Passes,33.015,32.22,0.7950000000000017,0.08210412070449209,1.0
AM,AM_C01,Short passes,10.51,10.38,0.129999999999999,0.04217237747982584,1.0
AM,AM_C01,Progressive passes,6.73,6.44,0.29000000000000004,0.11081973430239095,1.0
AM,AM_C01,Passes forward to the final third,3.71,3.38,0.33000000000000007,0.18966786265299507,1.0
AM,AM_C01,Final third entries,1.42,1.49,-0.07000000000000006,-0.05537017196816202,0.9984423676012462
AM,AM_C01,Key passes,0.59,0.7,-0.10999999999999999,-0.24221213402164365,0.9984423676012462
AM,AM_C01,Passes for a shot,0.62,0.73,-0.10999999999999999,-0.26811433045235,0.9953271028037384
AM,AM_C01,Chances created,0.7,0.83,-0.13,-0.30888199413831163,0.9968847352024922
AM,AM_C01,xA,0.17,0.2,-0.03,-0.2645077421397968,0.9984423676012462
AM,AM_C01,Open passes received in the final third,8.575,9.77,-1.1950000000000003,-0.3511950252252187,1.0
AM,AM_C01,Open passes received in the opponent's box,0.76,1.02,-0.26,-0.4639336104516571,0.9968847352024922
AM,AM_C01,Actions in opponent's box,1.96,2.69,-0.73,-0.5574122790129783,1.0
AM,AM_C01,Dribbles,1.815,2.33,-0.5150000000000001,-0.3621639329109071,1.0
AM,AM_C01,Dribbling in the final third,0.79,1.1,-0.31000000000000005,-0.37159611272712845,0.9968847352024922
AM,AM_C01,Shots,1.3650000000000002,1.76,-0.3949999999999998,-0.5499216106273498,1.0
AM,AM_C01,Lost balls,5.735,6.25,-0.5149999999999997,-0.3614356040861044,1.0
AM,AM_C02,Passes,40.8,32.22,8.579999999999998,0.8861048498673466,1.0
AM,AM_C02,Short passes,12.69,10.38,2.3099999999999987,0.7493707075261414,1.0
AM,AM_C02,Progressive passes,8.43,6.44,1.9899999999999993,0.760452659523303,1.0
AM,AM_C02,Passes forward to the final third,4.64,3.38,1.2599999999999998,0.7241863846750718,1.0
AM,AM_C02,Final third entries,2.65,1.49,1.16,0.9175628497581126,1.0
AM,AM_C02,Key passes,1.18,0.7,0.48,1.0569256757308088,1.0
AM,AM_C02,Passes for a shot,1.2,0.73,0.47,1.1455794119327682,1.0
AM,AM_C02,Chances created,1.23,0.83,0.4,0.9504061358101897,1.0
AM,AM_C02,xA,0.32,0.2,0.12,1.058030968559187,1.0
AM,AM_C02,Open passes received in the final third,13.15,9.77,3.380000000000001,0.9933382303441333,1.0
AM,AM_C02,Open passes received in the opponent's box,1.2349999999999999,1.02,0.21499999999999986,0.38363740864271617,0.9980582524271845
AM,AM_C02,Actions in opponent's box,3.04,2.69,0.3500000000000001,0.2672524625404691,1.0
AM,AM_C02,Dribbles,2.97,2.33,0.6400000000000001,0.45006780012229225,1.0
AM,AM_C02,Dribbling in the final third,1.4,1.1,0.2999999999999998,0.3596091413488337,1.0
AM,AM_C02,Shots,2.01,1.76,0.24999999999999978,0.3480516522957908,1.0
AM,AM_C02,Lost balls,7.05,6.25,0.7999999999999998,0.5614533655706478,1.0
AM,AM_C03,Passes,23.41,32.22,-8.809999999999999,-0.909858243278709,1.0
AM,AM_C03,Short passes,8.4,10.38,-1.9800000000000004,-0.6423177493081217,1.0
AM,AM_C03,Progressive passes,4.1,6.44,-2.3400000000000007,-0.8942006147158443,1.0
AM,AM_C03,Passes forward to the final third,1.98,3.38,-1.4,-0.8046515385278576,1.0
AM,AM_C03,Final third entries,0.745,1.49,-0.745,-0.589296830232581,0.9959839357429718
AM,AM_C03,Key passes,0.5,0.7,-0.19999999999999996,-0.44038569822117024,0.9939759036144579
AM,AM_C03,Passes for a shot,0.56,0.73,-0.16999999999999993,-0.41435851069908625,0.9879518072289156
AM,AM_C03,Chances created,0.68,0.83,-0.1499999999999999,-0.3564023009288209,0.9939759036144579
AM,AM_C03,xA,0.15,0.2,-0.05000000000000002,-0.4408462368996614,1.0
AM,AM_C03,Open passes received in the final third,8.78,9.77,-0.9900000000000002,-0.29094817989369587,1.0
AM,AM_C03,Open passes received in the opponent's box,1.25,1.02,0.22999999999999998,0.4104028092456966,1.0
AM,AM_C03,Actions in opponent's box,3.46,2.69,0.77,0.5879554175890319,1.0
AM,AM_C03,Dribbles,2.55,2.33,0.21999999999999975,0.15471080629203776,1.0
AM,AM_C03,Dribbling in the final third,1.36,1.1,0.26,0.31166125583565607,0.9979919678714859
AM,AM_C03,Shots,2.04,1.76,0.28,0.38981785057128615,1.0
AM,AM_C03,Lost balls,6.09,6.25,-0.16000000000000014,-0.1122906731141297,1.0
W,W_C01,Dribbles,2.71,3.31,-0.6000000000000001,-0.33149782503860054,1.0
W,W_C01,Dribbling in the final third,1.43,1.82,-0.3900000000000001,-0.33313263244986946,0.9987088444157521
W,W_C01,Crosses,1.42,1.66,-0.24,-0.25421497464178316,0.9974176888315042
W,W_C01,Passes into the penalty box,1.73,2.55,-0.8199999999999998,-0.452305126024112,1.0
W,W_C01,Progressive passes,3.91,4.67,-0.7599999999999998,-0.3761509240156767,1.0
W,W_C01,Final third entries,0.7,1.14,-0.43999999999999995,-0.4341382370311847,0.9935442220787605
W,W_C01,Final third entries through carry,0.15,0.39,-0.24000000000000002,-0.427544323386155,0.7585539057456423
W,W_C01,Carry,0.76,1.98,-1.22,-0.8400141492607525,0.4176888315041963
W,W_C01,Open passes received,19.45,23.225,-3.775000000000002,-0.5238072989324926,1.0
W,W_C01,Open passes received in the final third,8.83,10.62,-1.7899999999999991,-0.4771579481203628,1.0
W,W_C01,Open passes received in the opponent's box,0.94,1.05,-0.1100000000000001,-0.19694146585566702,0.9987088444157521
W,W_C01,Actions in opponent's box,2.93,3.33,-0.3999999999999999,-0.2693050665220975,1.0
W,W_C01,Shots,1.58,1.71,-0.1299999999999999,-0.19393058463082213,1.0
W,W_C01,Shots from the penalty area,0.99,1.0,-0.010000000000000009,-0.021461611993664365,0.9980632666236281
W,W_C01,Key passes,0.46,0.65,-0.19,-0.4236696483507822,0.9838605551969012
W,W_C01,Passes for a shot,0.51,0.7,-0.18999999999999995,-0.4760532283009397,0.9935442220787605
W,W_C01,Defensive challenges,3.96,4.12,-0.16000000000000014,-0.11192366483804286,1.0
W,W_C01,Ball recoveries,1.98,1.98,0.0,0.0,1.0
W,W_C01,Lost balls,6.13,6.7,-0.5700000000000003,-0.3928224633386643,1.0
W,W_C02,Dribbles,5.14,3.31,1.8299999999999996,1.0110683663677313,1.0
W,W_C02,Dribbling in the final third,3.04,1.82,1.22,1.0421072092021553,1.0
W,W_C02,Crosses,2.0149999999999997,1.66,0.35499999999999976,0.37602631665763736,1.0
W,W_C02,Passes into the penalty box,3.47,2.55,0.9200000000000004,0.5074642877343699,1.0
W,W_C02,Progressive passes,4.765,4.67,0.09499999999999975,0.047018865501959474,1.0
W,W_C02,Final third entries,2.125,1.14,0.9850000000000001,0.9718776442629932,1.0
W,W_C02,Final third entries through carry,1.07,0.39,0.68,1.211375582927439,0.9842696629213483
W,W_C02,Carry,3.09,1.98,1.1099999999999999,0.764275168589701,0.898876404494382
